,n1,n2,n3,n4,block_type,nf,time
457,1,29,58,4,1,6,0.09605709711710612
458,2,27,121,9,1,10,0.17701919873555502
459,9,5,19,10,1,176,3.4414352575937905
460,5,31,94,4,1,21,0.34014439582824707
461,9,7,16,13,1,15,0.09727334976196289
462,3,27,49,5,1,6,0.07077169418334961
463,9,31,64,8,1,41,0.7086995442708334
464,3,21,22,12,1,99,1.6222805976867676
465,4,19,127,1,1,88,2.923212925593058
466,7,13,64,7,1,21,0.24507554372151694
467,1,27,40,9,1,88,1.592269738515218
468,12,29,16,12,1,162,4.880438407262166
469,11,21,76,3,1,162,6.66138235727946
470,11,16,3,9,0,27,0.1662116845448812
471,8,29,4,2,1,10,0.07395744323730469
472,2,15,7,2,1,78,0.5048602422078451
473,12,9,5,10,0,21,0.09201415379842122
474,8,23,106,11,1,111,4.647003014882405
475,4,2,13,6,0,50,0.23110238711039224
476,11,25,46,9,1,162,5.747599283854167
477,4,13,34,4,1,27,0.21536636352539062
478,9,15,91,9,1,111,3.942430257797241
479,4,27,58,1,1,162,5.70356806119283
480,12,1,34,6,1,88,1.199323336283366
481,2,1,17,11,0,2,0.013643900553385416
482,9,4,17,2,0,162,1.9568173090616863
483,2,1,67,3,1,34,0.3357714017232259
484,6,4,11,12,0,21,0.08587559064229329
485,8,7,121,6,1,68,1.8529094060262044
486,11,17,58,6,1,111,2.875819762547811
487,12,23,100,9,1,149,7.449407021204631
488,7,5,94,3,1,136,5.070588032404582
489,1,27,25,5,1,176,4.1409361362457275
490,5,21,49,5,1,123,3.318559169769287
491,11,1,70,3,1,162,5.188222487767537
492,7,19,22,1,1,88,1.0673824151357014
493,12,3,13,2,1,15,0.08461451530456543
494,7,17,10,10,1,99,1.2893466154734294
495,13,21,58,12,1,149,5.61438250541687
496,12,1,109,8,1,136,7.570052067438762
497,5,9,127,9,1,136,6.8743259112040205
498,2,23,130,2,1,88,3.151604970296224
499,13,23,106,7,1,78,2.5278309186299643
500,9,27,124,12,1,88,3.460563818613688
501,3,29,22,10,1,50,0.5938849449157715
502,8,31,19,6,1,34,0.35722629229227704
503,3,1,85,8,1,68,1.2825508912404378
504,4,9,16,11,1,2,0.027298847834269207
505,11,7,70,2,1,34,0.42789220809936523
506,6,9,109,9,1,10,0.15129542350769043
507,6,10,7,8,0,6,0.024522860844930012
508,1,13,73,8,1,58,0.9633684953053793
509,5,25,34,6,1,191,5.76803199450175
510,13,1,58,10,1,50,1.0212841828664143
